2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory ,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e,Scope 3 emissions  tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions  tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)", Sales/Revenue,Profit
73,Enel         ,Utilities,Italy,70 000 000 ,5 400 000,56 900 000,45 300 000,5 000 000,50 300 000,47 700 000,98 000 000,$59,$30,#REF!,#REF!,#REF!,#REF!,#REF!,1 373,$0,"Sustainability Report 202, page 40 https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2020/sustainability-report_2020.pdf",$71 400 000 000,$2 980 000 000
74,AbbVie         ,Drugs & Biotechnology,United States,315 000 ,250 000,--,265 000,243 000,508 000,--,,$8 957,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 Environment and Safety Report, page 5 https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/2020-environment-and-safety-performance-report.pdf",$45 800 000 000,$4 550 000 000
75,Cisco Systems        ,Technology Hardware & Equipment,United States,45 394 ,924 573,21 688 162,38 743,607 218,645 961,20 311 866,20 957 827,$15 682,$483,#REF!,#REF!,#REF!,#REF!,#REF!,437,$5,https://www.cisco.com/c/m/en_us/about/csr/esg-hub/environment/scope-1-2-ghg-emissions.html ; scope 3 https://www.cisco.com/c/m/en_us/about/csr/esg-hub/environment/scope-3-ghg-emissions.html,$48 000 000 000,$10 130 000 000
75,Zurich Insurance Group       ,Insurance,Switzerland,47 418 ,50 667,115 304,16 437,11 278,27 715,38 994,66 709,$136 749,$56 814,#REF!,#REF!,#REF!,#REF!,#REF!,1,$568,https://www.zurich.com/sustainability/sustainable-operations/our-environmental-kpis?page_url_input_url=https%3a%2f%2fwww.zurich.com%2fsustainability%2fenvironment%2four-environmental-kpis,$58 400 000 000,$3 790 000 000
77,Bank of Nova Scotia      ,Banking,Canada,15 221 ,99 393,20 168,12 783,98 282,111 065,7 193,118 258,$45 739,$42 957,#REF!,#REF!,#REF!,#REF!,#REF!,4,$430,"2020 ESG Report, Page 11 https://www.scotiabank.com/content/dam/scotiabank/canada/en/documents/about/Scotiabank_2020_ESG_Report_Final.pdf",$30 700 000 000,$5 080 000 000
78,Commonwealth Bank        ,Banking,Australia,7 624 ,78 756,99 580,12 526,103 528,116 054,57 454,173 508,$49 546,$33 140,#REF!,#REF!,#REF!,#REF!,#REF!,8,$331,"2021-annual-report-sustainability, page 3 https://www.commbank.com.au/content/dam/commbank-assets/investors/docs/results/fy21/2021-annual-report-sustainability-performance-metrics.pdf",$22 400 000 000,$5 750 000 000
79,BHP Group        ,Materials,Australia,9 700 000 ,6 200 000,431 100 000,9 600 000,6 300 000,15 900 000,415 700 000,431 600 000,$436,$16,#REF!,#REF!,#REF!,#REF!,#REF!,9 362,$0,"BHP Annual Report 2021, page 42  and 44 file:///C:/Users/muham/Downloads/210914_bhpannualreport2021.pdf",$46 100 000 000,$6 930 000 000
79,UBS         ,Banking,Switzerland,10 574 ,216 096,19 636,9 972,136 524,146 496,61 215,207 711,$44 643,$31 486,#REF!,#REF!,#REF!,#REF!,#REF!,6,$315,"Ubs-sustainability-report-2021, page 111 file:///C:/Users/muham/Downloads/ubs-sustainability-report-2021.pdf",$32 200 000 000,$6 540 000 000
81,British American Tobacco       ,"Food, Drink & Tobacco",United States,396 000 ,386 000,6 781 000,342 000,199 000,541 000,5 587 000,6 128 000,$15 176,$1 340,#REF!,#REF!,#REF!,#REF!,#REF!,185,$13,"BAT_ESG_Report_2021, page 17 https://www.bat.com/group/sites/UK__9D9KCY.nsf/vwPagesWebLive/DOAWWEKR/$file/BAT_ESG_Report_2021.pdf?open&v=1",$33 100 000 000,$8 210 000 000
82,Honda Motor        ,Consumer Durables,Japan,1 380 000 ,4 090 000,309 820 000,1 240 000,3 790 000,5 030 000,298 090 000,303 120 000,$771,$13,#REF!,#REF!,#REF!,#REF!,#REF!,2 489,$0,"2021 Sustainability Report, page 72 https://global.honda/content/dam/site/global/about/cq_img/sustainability/report/pdf/2021/Honda-SR-2021-en-all.pdf",$121 800 000 000,$3 880 000 000
82,Intesa Sanpaolo        ,Banking,Italy,45 398 ,33 708,106 824,49 950,37 714,87 664,45 300,132 964,$42 663,$28 128,#REF!,#REF!,#REF!,#REF!,#REF!,3,$281,https://group.intesasanpaolo.com/en/sustainability/environment/direct-environmental-impacts/greenhouse-gas-emissions/results-and-targets,$45 800 000 000,$3 740 000 000
84,Merck & Co.       ,Drugs & Biotechnology,United States,799 000 ,732 200,6 965 600,738 400,392 400,1 130 800,7 103 450,8 234 250,$6 252,$859,#REF!,#REF!,#REF!,#REF!,#REF!,172,$9,"(ESG) Progress Report 2020/2021, page 102 https://www.merck.com/wp-content/uploads/sites/5/2021/09/Merck-ESG-Report.pdf",$47 800 000 000,$7 070 000 000
85,Sumitomo Mitsui Financial       ,Banking,Japan,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.smfg.co.jp/english/sustainability/materiality/environment/reduction/#ac0,$38 600 000 000,$4 940 000 000
86,Rio Tinto        ,Materials,Australia,23 100 000 ,8 300 000,0,22 800 000,8 700 000,31 500 000,570 000 000,601 500 000,$308,$16,#REF!,#REF!,#REF!,#REF!,#REF!,13 517,$0,"Climate Change Report 2020, page 33 file:///C:/Users/muham/Downloads/RT-climate-report-2020.pdf",$44 500 000 000,$9 710 000 000
87,Japan Post Holdings       ,Insurance,Japan,37 024 ,38 632,14 245,872 102,636 544,1 508 646,1 169 251,2 677 897,$2 804,$1 580,#REF!,#REF!,#REF!,#REF!,#REF!,25,$16,https://www.japanpost.jp/en/sustainability/library/data/,$106 600 000 000,$4 230 000 000
88,US Bancorp        ,Banking,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://ir.usbank.com/static-files/b66cafac-8012-4958-99aa-dd92cc111d03,$23 100 000 000,$6 050 000 000
89,Anthem         ,Drugs & Biotechnology,United States,14 179 ,98 988,1 174 488,12 163,91 828,103 991,912 080,1 016 071,$43 946,$4 498,#REF!,#REF!,#REF!,#REF!,#REF!,8,$45,"ESG Progress Report 2018–2020, page 8 https://www.antheminc.com/annual-report/2020/documents/ANTM_ESG20_Progress.pdf",$121 900 000 000,$4 570 000 000
90,Unilever         ,Household & Personal Products,United Kingdom,659 028 ,443 897,61 020 357,606 771,171 906,778 677,60 388 592,61 167 269,$8 155,$104,#REF!,#REF!,#REF!,#REF!,#REF!,1 058,$1,"Annual Report and Accounts 2020, page 59 https://assets.unilever.com/files/92ui5egz/production/e665693f2bd2efbbde5658baf84043df7937cfd7.pdf",$57 800 000 000,$6 350 000 000
90,Charter Communications        ,Media,United States,426 160 ,1 191 163,924 892,--,--,--,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"2020 ESG Report, page 24 https://corporate.charter.com/2020-ESG-ReportFull.pdf",$48 100 000 000,$3 220 000 000
92,Dell Technologies        ,Technology Hardware & Equipment,United States,59 000 ,751 500,13 815 900,--,--,--,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"FY19 CSR Report, page 50 https://www.dell.com/en-us/dt/corporate/social-impact/reporting/fy19-csr-report.htm#scroll=off&pdf-overlay=//www.dell.com/content/dam/delltechnologies/assets/corporate/pdf/progress-made-real-reports/dell-fy19-csr-report.pdf",$94 300 000 000,$3 250 000 000
93,Manulife         ,Insurance,Canada,714 636 ,652 618,464 091,555 933,253 000,808 933,479 087,1 288 020,$5 415,$3 401,#REF!,#REF!,#REF!,#REF!,#REF!,23,$34,"Manulife 2020 Sustainability Report, page 57 https://www.manulife.com/content/dam/corporate/global/en/documents/pas/MFC_SR_PAS_2020.pdf",$57 200 000 000,$4 380 000 000
94,Hon Hai Precision       ,Technology Hardware & Equipment,Taiwan,117 384 ,8 335 373,--,152 602,5 265 000,5 417 602,102 140,5 519 742,$639,$627,#REF!,#REF!,#REF!,#REF!,#REF!,30,$6,"CSR report 2019, page 93 https://www.honhai.com/s3/reports/CSR%E5%A0%B1%E5%91%8A%E6%9B%B8/%E8%8B%B1%E6%96%87%E7%89%88/2019%E9%B4%BB%E6%B5%B7%20CSR%20report_en.pdf ; CSR report 2020, page 100 https://www.honhai.com/s3/reports/CSR%E5%A0%B1%E5%91%8A%E6%9B%B8/%E8%8B%B1%E6%96%87%E7%89%88/2020%20Foxconn%20CSR%20Report_en.pdf",$182 000 000 000,$3 460 000 000
95,American Express        ,Diversified Financials,United States,24 363 ,117 117,51 679,19 620,92 488,112 108,5 933,118 041,$27 741,$26 347,#REF!,#REF!,#REF!,#REF!,#REF!,3,$263,"AXP-2020-2021-ESG-Report, page 63 https://s1.q4cdn.com/692158879/files/doc_downloads/2021/09/AXP-2020-2021-ESG-Report.pdf",$38 200 000 000,$3 110 000 000
96,China Vanke        ,Construction,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://iis.quamnet.com/media/IRAnnouncement/2202/EN_US/9321158-0.PDF,$62 600 000 000,$6 090 000 000
97,GlaxoSmithKline         ,Drugs & Biotechnology,United Kingdom,795 000 ,522 000,14 620 000,773 000,507 000,1 280 000,--,,$5 758,,#REF!,#VALUE!,,#REF!,#VALUE!,"0,000000000",,"Esg-performance-summary-2020, Page 9 and 10 https://www.gsk.com/media/6636/esg-performance-summary-2020.pdf",$43 700 000 000,$7 370 000 000
98,Truist Financial        ,Banking,United States,--,--,--,52054,355710,,--,,,,#REF!,#VALUE!,,,#VALUE!,,,"Truist 2020 GHG Inventory Assurance Statement, page 2 https://filecache.investorroom.com/mr5ir_truist/464/Truist%202020%20GHG%20Inventory%20Assurance%20Statement_14July2021.pdf",$24 300 000 000,$4 900 000 000
99,Rosneft         ,Oil & Gas Operations,Russia,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,Denied each link for this country.,$70 800 000 000,$2 030 000 000
100,China State Construction Engineering      ,Construction,China,75 482 ,5 496,36 628,56 502,3 846,60 348,7 002,67 350,$101 743,$91 166,#REF!,#REF!,#REF!,#REF!,#REF!,0,$912,"sus_2019, page 57 https://www.cscechk.com/pdf/sus_2019_en.pdf ; sus_2020, page 70 https://www.cscechk.com/pdf/sus_2020_en.pdf",$215 300 000 000,$6 140 000 000
101,JD.com         ,Retailing,China,--,--,--,355585,646827,,1273523,,,,#REF!,#REF!,,,#REF!,,,"1 2020 JD.com Environmental, Social and Governance Report, page 49 https://ir.jd.com/index.php/system/files-encrypted/nasdaq_kms/assets/2021/04/19/2-46-41/2020%20JD.com%20Environmental%20Social%20and%20Governance%20Report.pdf",$108 300 000 000,$7 230 000 000
102,Coca-Cola         ,"Food, Drink & Tobacco",United States,253 215 ,6 670,3 926 411,196 919,144 011,340 930,3 144 035,3 484 965,$22 732,$2 224,#REF!,#REF!,#REF!,#REF!,#REF!,106,$22,"2020-Corporate-data, page 5 https://www.cocacolaep.com/assets/Sustainability/Documents/1345c2f33c/2020-Corporate-data-tables-v2.pdf",$33 000 000 000,$7 750 000 000
103,Iberdrola         ,Utilities,Spain,5 782 303 ,2 081 745,54 278 199,12 971 710,1 882 654,14 854 364,57 851 881,72 706 245,$277,$57,#REF!,#REF!,#REF!,#REF!,#REF!,1 923,$1,"Statement of Non-Financial Information - Sustainability Report, page 75,79,266 https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf",$37 800 000 000,$4 120 000 000
104,CITIC         ,Trading Companies,Hong Kong,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.citic.com/ar2020/pdf/11E-ESG.pdf,$71 300 000 000,$7 300 000 000
105,Prudential         ,Insurance,United Kingdom,7 332 ,97 992,6 248,5 637,43 120,48 757,2 164,50 921,$43 071,$41 240,#REF!,#REF!,#REF!,#REF!,#REF!,1,$412,"esg-report-2020, page 49 https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2020/esg-report-2020.pdf",$54 800 000 000,$2 100 000 000
106,KDDI         ,Telecommunications Services,Japan,6 581 ,1 041 559,6 458 524,5 709,1 050 417,1 056 126,5 390 054,6 446 180,$5 833,$956,#REF!,#REF!,#REF!,#REF!,#REF!,131,$10,"Report2021, page 43 https://www.kddi.com/extlib/files/english/corporate/csr/csr_report/2021/pdf/report2021_en.pdf",$49 300 000 000,$6 160 000 000
107,Bank of Montreal       ,Banking,Canada,45 672 ,90 457,25 637,31 621,62 661,94 282,8 454,102 736,$43 699,$40 103,#REF!,#REF!,#REF!,#REF!,#REF!,4,$401,"2021 Climate Report, Page 28 https://our-impact.bmo.com/wp-content/uploads/2022/03/BMO_2021_Climate-Report_EN_FINAL.pdf",$24 500 000 000,$4 120 000 000
108,Costco Wholesale        ,Retailing,United States,2 572 206 ,N/A,N/A,2 663 033,N/A,#VALUE!,N/A,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,https://www.costco.com/sustainability-climate-action-plan.html#emissions-tracking,$178 600 000 000,$4 340 000 000
109,Itaú Unibanco Holding       ,Banking,Brazil,13 502 ,43 738,156 364,15 121,34 933,50 054,78 618,128 672,$73 121,$28 444,#REF!,#REF!,#REF!,#REF!,#REF!,3,$284,"Itau Unibanco ESG Report 2020, page 94 https://www.itau.com.br/relacoes-com-investidores/annual-report/2020/pdf/ESG-Report-2020-Itau-Unibanco.pdf",$37 200 000 000,$3 660 000 000
110,State Bank of India      ,Banking,India,418 ,1 163 367,181 822,390,1 066 386,1 066 776,192 459,1 259 235,$2 934,$2 486,#REF!,#REF!,#REF!,#REF!,#REF!,25,$25,"Sustainability Report 2020-21, page 24 https://sbi.co.in/documents/17826/24401/140621-Sustainability+Report%28SR%29+year+2020-21.pdf/ba271367-9542-e96a-0589-2968954b2e17?t=1623659643326",$50 600 000 000,$3 130 000 000
111,Chubb         ,Insurance,Switzerland,26 332 ,--,42 520,16 313,35 388,51 701,--,,$68 277,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2019, page 15 https://www.chubb.com/content/dam/annual-corporate-governance/Chubb%202020%20Environmental%20Report.pdf ; 2020, page 9 https://www.chubb.com/content/dam/chubb-sites/chubb-com/us-en/about-chubb/environment/doc/Chubb_2021_Climate-Related_Financial_Disclosure_and_Environmental_Report.pdf",$36 100 000 000,$3 530 000 000
112,Mitsubishi         ,Trading Companies,Japan,110 000 ,416 000,35 429,79 000,289 000,368 000,20 286 000,20 654 000,$8 424,$150,#REF!,#REF!,#REF!,#REF!,#REF!,177,$2,"sustainability2021, page 111 https://www.mitsubishi-motors.com/en/sustainability/pdf/report-2021/sustainability2021.pdf?201214",$116 700 000 000,$3 100 000 000
113,Vale         ,Materials,Brazil,11 300 000 ,800 000,562 900 000,9 600 000,600 000,10 200 000,480 500 000,490 700 000,$508,$11,#REF!,#REF!,#REF!,#REF!,#REF!,12 146,$0,"Sustainability Reports 2020, page 109 https://api.mziq.com/mzfilemanager/v2/d/53207d1c-63b4-48f1-96b7-19869fae19fe/598acdd8-0879-4396-baf7-9d7b25c3bbb0?origin=1",$40 400 000 000,$5 180 000 000
114,Capital One        ,Business Services & Supplies,United States,9 495 ,146 671,382 461,6 620,118 105,124 725,378 752,503 477,$21 407,$5 303,#REF!,#REF!,#REF!,#REF!,#REF!,16,$53,"Environmental, Social and Governance Fact Sheet, page 5 https://investor.capitalone.com/static-files/5e126c92-c312-4512-b799-d57e31b14810",$31 600 000 000,$2 670 000 000
115,PNC Financial Services       ,Banking,United States,30 286 ,181 932,68 137,23 767,146 807,170 574,16 467,187 041,$49 304,$44 963,#REF!,#REF!,#REF!,#REF!,#REF!,11,$450,"2020 CR Report, page 20 https://www.pnc.com/content/dam/pnc-com/pdf/aboutpnc/CorporateResponsibilityReports/PNC_Corporate_Responsibility_Report_2020.pdf",$17 400 000 000,$8 410 000 000
116,HDFC Bank        ,Banking,India,7 000 ,449 700,15 700,7 700,390 100,397 800,16 400,414 200,$10 407,$9 995,#REF!,#REF!,#REF!,#REF!,#REF!,20,$100,"Enviornmentalstewardship, page 1 https://v1.hdfcbank.com/htdocs/common/2020/July/AR/hdfc-AR/pdf/Enviornmentalstewardship.pdf",$20 700 000 000,$4 140 000 000
117,Itochu         ,Trading Companies,Japan,1 213 000 ,771 000,--,1 202 000,835 000,2 037 000,--,,$2 018,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"ESG Report 2021, page 49 https://www.itochu.co.jp/en/csr/pdf/21fulle-all.pdf",$96 600 000 000,$4 110 000 000
117,Credit Agricole        ,Banking,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.credit-agricole.com/en/pdfPreview/188402,$43 500 000 000,$2 640 000 000
119,FedEx         ,Transportation,United States,15 406 173 ,995 988,3 099 293,15 235 320,948 280,16 183 600,3 230 571,19 414 171,$187,$156,#REF!,#REF!,#REF!,#REF!,#REF!,247,$2,"FedEx 2021 ESG Report, page 33 https://www.fedex.com/content/dam/fedex/us-united-states/sustainability/gcrs/FedEx_2021_ESG_Report.pdf",$78 700 000 000,$3 020 000 000
120,Vodafone         ,Telecommunications Services,United Kingdom,260 000 ,1 880 000,10 700 000,280 000,1 670 000,1 950 000,9 500 000,11 450 000,$1 451,$247,#REF!,#REF!,#REF!,#REF!,#REF!,230,$2,"Vodafone_Annual Report 2021, page 7 and 34 ; https://investors.vodafone.com/sites/vodafone-ir/files/2021-05/vodafone-annual-report-2021.pdf",$49 700 000 000,$2 830 000 000
121,Abbott Laboratories        ,Health Care Equipment & Services,United States,543 000 ,917 000,--,500 000,480 000,980 000,--,,$4 541,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Global Sustainability Report 2020, page 134 https://dam.abbott.com/en-us/documents/pdfs/abbott-citizenship/Abbott-2020-Global-Sustainability-Report.pdf",$34 600 000 000,$4 450 000 000
122,Visa         ,Business Services & Supplies,United States,9 920 ,56 217,--,4 170,9 730,13 900,400 000,413 900,$745 324,$25 030,#REF!,#REF!,#REF!,#REF!,#REF!,,$250,"2020 Environmental, Social & Governance Report, page 37 https://usa.visa.com/content/dam/VCOM/global/about-visa/documents/visa-2020-esg-report.pdf",$21 500 000 000,$10 360 000 000
123,SAP         ,IT Software & Services,Germany,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.sap.com/docs/download/investors/2020/sap-2020-annual-report-form-20f.pdf,$31 700 000 000,$6 290 000 000
124,Thermo Fisher Scientific       ,Health Care Equipment & Services,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://corporate.thermofisher.com/content/dam/tfcorpsite/documents/corporate-social-responsibility/2020%20CSR%20Report%20Serving%20Science%20Serving%20Society.pdf,$32 200 000 000,$6 380 000 000
125,China Pacific Insurance       ,Insurance,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.cpic.com.cn/upload/resources/file/2021/05/31/56738.pdf,$61 200 000 000,$3 550 000 000
126,Lowe's         ,Retailing,United States,485 000 ,1 624 000,--,541 000,1 430 000,1 971 000,--,,$2 948,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 CORPORATE RESPONSIBILITY REPORT, page 42 https://corporate.lowes.com/sites/lowes-corp/files/CSR-reports/Lowes_2020CSR__FINAL_ADA.pdf",$89 600 000 000,$5 810 000 000
127,BlackRock         ,Diversified Financials,United States,6 160 ,28 531,344 201,3 278,19 363,22 641,400 902,423 543,$234 972,$12 561,#REF!,#REF!,#REF!,#REF!,#REF!,23,$126,"BlackRock 2021 TCFD Report, Page 37 https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/tcfd-report-2021-blkinc.pdf",$18 100 000 000,$5 320 000 000
128,China Citic Bank       ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"2020 Sustainability, https://www.citicbank.com/about/investor_1011/notice/hshare/202104/P020210429647169692517.pdf",$50 400 000 000,$7 100 000 000
129,Mizuho Financial        ,Banking,Japan,14 756 ,168 522,5 396,13 999,156 877,170 876,1 375,172 251,$21 887,$21 713,#REF!,#REF!,#REF!,#REF!,#REF!,6,$217,"Sustainability, page 104 https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/investors/financial-information/annual/2021-integrated-report/data2103_all.pdf",$30 300 000 000,$3 740 000 000
130,Deutsche Post        ,Transportation,Germany,6 270 000 ,210 000,26 720 000,6 590 000,190 000,6 780 000,26 860 000,33 640 000,$501,$101,#REF!,#REF!,#REF!,#REF!,#REF!,441,$1,"2021 ESG Presentation – ESG, Page 21 https://www.dpdhl.com/content/dam/dpdhl/en/media-center/investors/documents/presentations/2021/DPDHL-ESG-Presentation-2021.pdf",$76 200 000 000,$3 400 000 000
131,Medtronic         ,Health Care Equipment & Services,Ireland,62 900 ,225 800,--,61 800,218 700,280 500,-,,$10 303,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2021-integrated-report, page 31 https://www.medtronic.com/content/dam/medtronic-wide/public/brand-corporate-assets/resources/2021-integrated-report_corpmark_mdt.pdf",$27 900 000 000,$2 890 000 000
132,Caterpillar         ,Capital Goods,United States,905 000 ,1 795 000,--,700 000,830 000,1 530 000,--,,$1 961,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020_Caterpillar_Sustainability_Report, page 37 https://reports.caterpillar.com/sr/2020_Caterpillar_Sustainability_Report.pdf?_ga=2.210168981.1422333215.1647099327-1842983810.1647099327",$41 700 000 000,$3 000 000 000
133,Hitachi         ,Conglomerates,United States,N/A,N/A,N/A,1220000,2090000,,69060000,,,,#REF!,#REF!,,,#REF!,,,"en_sustainability2021, Page 69 https://www.hitachi.com/sustainability/download/pdf/en_sustainability2021.pdf",$78 700 000 000,$3 190 000 000
134,Lockheed Martin        ,Aerospace & Defense,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://sustainability.lockheedmartin.com/sustainability/content/Lockheed_Martin_2020_Sustainability_Report.pdf,$65 400 000 000,$6 830 000 000
135,Generali Group        ,Insurance,Italy,N/A,N/A,N/A,35438,47433,,38128,,,,#REF!,#REF!,,,#REF!,,,https://www.generali.com/our-responsibilities/our-commitment-to-the-environment-and-climate/greenhouse-gas-emissions,$90 000 000 000,$1 990 000 000
136,Target         ,Retailing,United States,752 552 ,3 226 580,55 787 000,699 877,1 492 000,2 191 877,64 789 000,66 980 877,$1 994,$65,#REF!,#REF!,#REF!,#REF!,#REF!,716,$1,"2021 Target Corporate Responsibility Report, page 80 and 81 https://corporate.target.com/_media/TargetCorp/Sustainability-ESG/PDF/2021_Target_Corporate-Responsibility-Report.pdf",$93 600 000 000,$4 370 000 000
137,Deere & Company       ,Capital Goods,United States,388 500 ,588 700,--,343 500,497 000,840 500,--,,$4 117,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"sustainability-report-2021, page 64 https://www.deere.com/assets/pdfs/common/our-company/sustainability/sustainability-report-2021.pdf",$37 000 000 000,$3 460 000 000
138,Honeywell International        ,Conglomerates,United States,1 384 849 ,951 982,--,1 387 727,860 579,2 248 306,--,,$2 126,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Corporate Citizenship Report 2021, page 57 https://www.honeywell.com/content/dam/honeywellbt/en/documents/downloads/Hon-Corporate-Citizenship-Report.pdf",$32 600 000 000,$4 780 000 000
139,SAIC Motor        ,Consumer Durables,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.saicmotor.com/english/images/investor_relations/annual_report/2021/8/6/C764301F93D64F7FA65D07F86FF15020.pdf,$106 700 000 000,$2 960 000 000
140,Country Garden Holdings       ,Construction,China,23 638 ,526 767,--,17 879,316 353,334 232,--,,$15 229,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 SUSTAINABILITY REPORT, page 109 https://www.bgy.com.cn/upload/file/2021-06-28/aec49441-f3a3-4c5a-98db-b97fc045ad0c.pdf",$67 300 000 000,$5 090 000 000
141,ANZ         ,Banking,Australia,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.anz.com.au/content/dam/anzcomau/documents/pdf/aboutus/esg/esg-reporting/2021-esp-supplement-A.pdf,$20 300 000 000,$2 420 000 000
141,Charles Schwab        ,Diversified Financials,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://content.schwab.com/web/retail/public/about-schwab/schwab_annual_report_2020.pdf,$13 800 000 000,$3 990 000 000
143,Barclays         ,Banking,United Kingdom,24 276 ,185 743,68 137,21 512,148 658,170 170,19 134,189 304,$11 518,$10 354,#REF!,#REF!,#REF!,#REF!,#REF!,7,$104,"2019, page 40 https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf ; 2020, page 160 https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-PLC-Annual-Report-2021.pdf",$27 900 000 000,$1 960 000 000
144,Broadcom         ,Semiconductors,United States,--,--,--,114096,128076,,--,,,,#REF!,#VALUE!,,,#VALUE!,,,"Broadcom 2021 Environmental, Social & Governance Report, page 38 https://docs.broadcom.com/doc/environment-social-governance-report",$24 700 000 000,$3 950 000 000
145,Munich Re        ,Insurance,Germany,44 023 ,91 039,27 144,44 105,51 933,96 038,6 890,102 928,$14 369,$13 407,#REF!,#REF!,#REF!,#REF!,#REF!,1,$134,"CR-Report-2020, page 94 https://www.munichre.com/content/dam/munichre/contentlounge/website-pieces/documents/CR-Report-2020.pdf/_jcr_content/renditions/original./CR-Report-2020.pdf",$73 900 000 000,$1 380 000 000
146,Enbridge         ,Oil & Gas Operations,Canada,6 962 000 ,6 489 000,50 902 600,6 853 000,5 827 000,12 680 000,47 477 400,60 157 400,$198,$42,#REF!,#REF!,#REF!,#REF!,#REF!,2 133,$0,"Enbridge 2020 Sustainability Report, page 25 https://www.enbridge.com/~/media/Enb/Documents/Reports/Sustainability%20Report%202020/Enbridge_SR_2020.pdf",$28 200 000 000,$2 510 000 000
146,ING Group        ,Diversified Financials,Netherlands,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,file:///C:/Users/muham/Downloads/2021-ING-Climate-Report.pdf,$20 100 000 000,$2 830 000 000
